公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,l,分公司核准設立日期,分公司最後核准變更日期,county,area,year,month,day
16740494,全聯實業股份有限公司,16741228,台北北投分公司,臺北市北投路２段１１號地下１樓,1,870908,900409,臺北市,north,1998,9,8
16740494,全聯實業股份有限公司,16741254,彰化鹿港分公司,彰化縣鹿港鎮復興路210號,1,870908,970220,彰化縣,central,1998,9,8
16740494,全聯實業股份有限公司,16741260,花蓮國聯分公司,花蓮縣花蓮市國聯二路110號,1,870908,1120605,花蓮縣,east,1998,9,8
16740494,全聯實業股份有限公司,16741276,花蓮玉里分公司,花蓮縣玉里鎮和平路92號,1,870908,1031001,花蓮縣,east,1998,9,8
16740494,全聯實業股份有限公司,16741297,豐原成功分公司,臺中市豐原區成功路198號,1,870908,1100708,臺中市,central,1998,9,8
16740494,全聯實業股份有限公司,16741304,台中大智分公司,臺中市東區大智路３５０巷２號１樓,1,870908,1111206,臺中市,central,1998,9,8
16740494,全聯實業股份有限公司,16741310,霧峰民生分公司,臺中市霧峰區民生路75號1樓,1,870908,1100510,臺中市,central,1998,9,8
16740494,全聯實業股份有限公司,16741331,台中沙鹿分公司,臺中市沙鹿區大同街119-1號1樓,1,870908,1040420,臺中市,central,1998,9,8
16740494,全聯實業股份有限公司,16741352,新營復興分公司,臺南市新營區復興路150-3號1樓,1,870908,1111007,臺南市,south,1998,9,8
16740494,全聯實業股份有限公司,16741374,基隆七堵分公司,基隆市七堵區南興路106號,1,870908,1111208,基隆市,north,1998,9,8
16740494,全聯實業股份有限公司,16741395,內湖港墘分公司,臺北市內湖區港墘路127巷10號地下1層,1,870908,1111007,臺北市,north,1998,9,8
16740494,全聯實業股份有限公司,16834345,花蓮光復分公司,花蓮縣光復鄉中山路2段299-1、299-2號1樓,1,880122,1040706,花蓮縣,east,1999,1,22
16740494,全聯實業股份有限公司,16834366,沙鹿中山分公司,臺中市沙鹿區鹿寮里中山路434號1樓,1,880122,1110318,臺中市,central,1999,1,22
16740494,全聯實業股份有限公司,16834372,斗六莊敬分公司,雲林縣斗六市林頭里莊敬路43號,1,880122,1110620,雲林縣,central,1999,1,22
